"code","name","description"
"372","Virtual Club Fair","Go to the virtual club fair"
"298","FB Guru","Post about your club on Facebook"
"48","Insta Guru","Post about your club on Instagram"
"1","Rising Star","Complete 5 tasks in one week"
"3","Sharing is Caring","Post about UW Club Journey on your social media"
"84","Social Good","Participate in one BLM-UW / Divest UW / ... event"
"92","WOAH!","Rank first place in the top chart"
"67","Club Baby I","Go to your first club event"
"258","Club Baby II","Go to your first three club events"
"492","Club Baby II","Go to your first five club events"
"5","Exploring","Talk to five club representatives"
"9","Founder","Start your own club"
"23","HuskyLink","Use the HuskyLink platform once"
"51","Recruiter","Recruit 1 new member to your club"
